Cation,Anion,Capacity,Cation_SMILES,Anion_SMILES
butyl-trihexyl-phosphonium,2-hydroxyacetate,43.86809,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,OCC([O-])=O
butyl-trihexyl-phosphonium,2-hydroxybutanedioate,2.459818,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,OC(CC([O-])=O)C([O-])=O
butyl-trihexyl-phosphonium,"6-methyl-2,2-dioxo-2H-1,2λ6,3-oxathiazin-4-olate",1.831192,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,CC1=CC(=N[S](=O)(=O)O1)[O-]
butyl-trihexyl-phosphonium,acetate,482.9375,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,CC([O-])=O
butyl-trihexyl-phosphonium,alaninate,293.3268,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,C[C@H](N)C([O-])=O
butyl-trihexyl-phosphonium,argininate,96.81938,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,N[C@@H](CCCNC(N)=N)C([O-])=O
butyl-trihexyl-phosphonium,hexafluoroarsenate,0.0316818,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,F[As-](F)(F)(F)(F)F
butyl-trihexyl-phosphonium,asparaginate,54.13642,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,N[C@@H](CC(N)=O)C([O-])=O
butyl-trihexyl-phosphonium,aspartate,29.34896,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,N[C@@H](CC([O-])=O)C([O-])=O
butyl-trihexyl-phosphonium,tetrachloroborate,0.02232691,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,Cl[B-](Cl)(Cl)Cl
butyl-trihexyl-phosphonium,chlorotrifluoroborate,0.07839518,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,F[B-](F)(F)Cl
butyl-trihexyl-phosphonium,benzoate,198.456,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,[O-]C(=O)c1ccccc1
butyl-trihexyl-phosphonium,tetrafluoroborate,0.22203,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,F[B-](F)(F)F
butyl-trihexyl-phosphonium,"bis(2,4,4-trimethylpentyl)phosphinate",244.75,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,CC(CC(C)(C)C)C[P]([O-])(=O)CC(C)CC(C)(C)C
butyl-trihexyl-phosphonium,bis(pentafluoroethylsulfonyl)amide,0.05346154,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,FC(F)(F)C(F)(F)[S](=O)(=O)[N-][S](=O)(=O)C(F)(F)C(F)(F)F
butyl-trihexyl-phosphonium,bis(trifluoromethylsulfonyl)methane,0.09372195,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,FC(F)(F)[S](=O)(=O)C[S](=O)(=O)C(F)(F)F
butyl-trihexyl-phosphonium,bis-pentafluoroethyl-phosphinate,1.00509,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,[O-][P](=O)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
butyl-trihexyl-phosphonium,bromide,4.654745,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,[Br-]
butyl-trihexyl-phosphonium,butanedioate,6.552962,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,[O-]C(=O)CCC([O-])=O
butyl-trihexyl-phosphonium,butanoate,479.5303,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,CCCC([O-])=O
butyl-trihexyl-phosphonium,butylsulfate,1.357856,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,CCCCO[S]([O-])(=O)=O
butyl-trihexyl-phosphonium,chloride,18.17937,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,[Cl-]
butyl-trihexyl-phosphonium,chlorate,0.1340875,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,[O-][Cl](=O)=O
butyl-trihexyl-phosphonium,decanoate,449.3927,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,CCCCCCCCCC([O-])=O
butyl-trihexyl-phosphonium,dibutylphosphate,31.45781,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,CCCCO[P]([O-])(=O)OCCCC
butyl-trihexyl-phosphonium,dicyanamide,2.635169,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,N#C[N-]C#N
butyl-trihexyl-phosphonium,diethylphosphate,35.28674,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,CCO[P]([O-])(=O)OCC
butyl-trihexyl-phosphonium,dihydrogen-phosphate,16.87152,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,O[P](O)([O-])=O
butyl-trihexyl-phosphonium,dimethylphosphate,30.30847,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,CO[P]([O-])(=O)OC
butyl-trihexyl-phosphonium,dodecylsulfate,1.111919,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,CCCCCCCCCCCCO[S]([O-])(=O)=O
butyl-trihexyl-phosphonium,ethoxyethylsulfate,1.234069,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,CCOC(C)O[S]([O-])(=O)=O
butyl-trihexyl-phosphonium,ethylsulfate,1.458265,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,CCO[S]([O-])(=O)=O
butyl-trihexyl-phosphonium,fluoride,6407.582,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,[F-]
butyl-trihexyl-phosphonium,formate,115.2781,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,[O-]C=O
butyl-trihexyl-phosphonium,glutamate,35.7313,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,N[C@@H](CCC([O-])=O)C([O-])=O
butyl-trihexyl-phosphonium,glutaminate,66.08403,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,N[C@@H](CCC(N)=O)C([O-])=O
butyl-trihexyl-phosphonium,glycinate,290.6231,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,NCC([O-])=O
butyl-trihexyl-phosphonium,heptafluorobutanoate,4.946782,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,[O-]C(=O)C(F)(F)C(F)(F)C(F)(F)F
butyl-trihexyl-phosphonium,histidinate,90.8207,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,N[C@@H](Cc1c[nH]cn1)C([O-])=O
butyl-trihexyl-phosphonium,hydrogencarbonate,32.66477,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,OC([O-])=O
butyl-trihexyl-phosphonium,hydrogensulfate,1.742023,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,O[S]([O-])(=O)=O
butyl-trihexyl-phosphonium,iodide,0.9985382,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,[I-]
butyl-trihexyl-phosphonium,triiodide,0.01893046,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,I[I-]I
butyl-trihexyl-phosphonium,isoleucinate,264.0602,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,CC[C@H](C)[C@H](N)C([O-])=O
butyl-trihexyl-phosphonium,lactate,46.77118,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,CC(O)C([O-])=O
butyl-trihexyl-phosphonium,leucinate,262.6802,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,CC(C)C[C@H](N)C([O-])=O
butyl-trihexyl-phosphonium,lysinate,265.3334,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,NCCCC[C@H](N)C([O-])=O
butyl-trihexyl-phosphonium,methanesulfonate,8.037895,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,C[S]([O-])(=O)=O
butyl-trihexyl-phosphonium,methioninate,210.0818,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,CSCC[C@H](N)C([O-])=O
butyl-trihexyl-phosphonium,methoxyethylsulfate,1.277158,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,COC(C)O[S]([O-])(=O)=O
butyl-trihexyl-phosphonium,methylcarbonate,52.71643,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,COC([O-])=O
butyl-trihexyl-phosphonium,methylsulfate,1.349949,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,CO[S]([O-])(=O)=O
butyl-trihexyl-phosphonium,nitrate,3.285955,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,[O-][N+]([O-])=O
butyl-trihexyl-phosphonium,octylsulfate,1.233083,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,CCCCCCCCO[S]([O-])(=O)=O
butyl-trihexyl-phosphonium,pentafluoroethyltrifluoroborate,0.07314417,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,F[B-](F)(F)C(F)(F)C(F)(F)F
butyl-trihexyl-phosphonium,perfluorobutanesulfonate,0.3353995,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,CCCC[S](=O)(=O)OF
butyl-trihexyl-phosphonium,perfluorooctanesulfonate,0.2876839,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,CCCCCCCC[S](=O)(=O)OF
butyl-trihexyl-phosphonium,hexafluorophosphate,0.04176892,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,F[P-](F)(F)(F)(F)F
butyl-trihexyl-phosphonium,phosphonate,42.9758,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,[O-][PH]([O-])=O
butyl-trihexyl-phosphonium,prolinate,217.7194,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,[O-]C(=O)[C@@H]1CCCN1
butyl-trihexyl-phosphonium,propanedioate,4.970335,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,[O-]C(=O)CC([O-])=O
butyl-trihexyl-phosphonium,propanoate,502.3752,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,CCC([O-])=O
butyl-trihexyl-phosphonium,"1,1-dioxo-1,2-benzothiazol-3-olate",2.626014,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,[O-]C1=N[S](=O)(=O)c2ccccc12
butyl-trihexyl-phosphonium,salicylate,15.14071,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,Oc1ccccc1C([O-])=O
butyl-trihexyl-phosphonium,hexafluoroantimonate,0.02879732,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,F[Sb-](F)(F)(F)(F)F
butyl-trihexyl-phosphonium,serinate,56.55746,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,N[C@@H](CO)C([O-])=O
butyl-trihexyl-phosphonium,sulfate,527.9293,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,[O-][S]([O-])(=O)=O
butyl-trihexyl-phosphonium,sulfamate,4.697532,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,N[S]([O-])(=O)=O
butyl-trihexyl-phosphonium,tetrachlorogallate,0.01816075,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,[O-]C(=O)c1cc(OCl)c(OCl)c(OCl)c1Cl
butyl-trihexyl-phosphonium,tetrachloroindium,0.01839819,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,[Cl]|[In-](|[Cl])(|[Cl])|[Cl]
butyl-trihexyl-phosphonium,tetracyanoborate,0.1440431,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,N#C[B-](C#N)(C#N)C#N
butyl-trihexyl-phosphonium,thiocyanate,2.281464,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,[S-]C#N
butyl-trihexyl-phosphonium,2-amino-3-hydroxybutanoate,76.97781,CCCCCC[P+](CCCC)(CCCCCC)CCCCCC,CC(O)C(N)C([O-])=O
